project_name	source_repository	source_url
flexible-rulers-craft	rutaabali3/flexible-rulers-craft	https://github.com/rutaabali3/flexible-rulers-craft
steel-rulers-craft	rutaabali3/steel-rulers-craft	https://github.com/rutaabali3/steel-rulers-craft
set-squares-craft	rutaabali3/set-squares-craft	https://github.com/rutaabali3/set-squares-craft
protractors-craft	rutaabali3/protractors-craft	https://github.com/rutaabali3/protractors-craft
compasses-craft	rutaabali3/compasses-craft	https://github.com/rutaabali3/compasses-craft
geometry-sets-craft	rutaabali3/geometry-sets-craft	https://github.com/rutaabali3/geometry-sets-craft
measuring-tapes-craft	rutaabali3/measuring-tapes-craft	https://github.com/rutaabali3/measuring-tapes-craft
stencils-craft	rutaabali3/stencils-craft	https://github.com/rutaabali3/stencils-craft
templates-craft	rutaabali3/templates-craft	https://github.com/rutaabali3/templates-craft
scissors-craft	rutaabali3/scissors-craft	https://github.com/rutaabali3/scissors-craft
craft-scissors-craft	rutaabali3/craft-scissors-craft	https://github.com/rutaabali3/craft-scissors-craft
paper-cutters-craft	rutaabali3/paper-cutters-craft	https://github.com/rutaabali3/paper-cutters-craft
utility-knives-craft	rutaabali3/utility-knives-craft	https://github.com/rutaabali3/utility-knives-craft
glue-sticks-craft	rutaabali3/glue-sticks-craft	https://github.com/rutaabali3/glue-sticks-craft
liquid-glue-craft	rutaabali3/liquid-glue-craft	https://github.com/rutaabali3/liquid-glue-craft
craft-glue-craft	rutaabali3/craft-glue-craft	https://github.com/rutaabali3/craft-glue-craft
double-sided-tape-craft	rutaabali3/double-sided-tape-craft	https://github.com/rutaabali3/double-sided-tape-craft
clear-tape-craft	rutaabali3/clear-tape-craft	https://github.com/rutaabali3/clear-tape-craft
masking-tape-craft	rutaabali3/masking-tape-craft	https://github.com/rutaabali3/masking-tape-craft
washi-tape-craft	rutaabali3/washi-tape-craft	https://github.com/rutaabali3/washi-tape-craft
packing-tape-craft	rutaabali3/packing-tape-craft	https://github.com/rutaabali3/packing-tape-craft
tape-dispensers-craft	rutaabali3/tape-dispensers-craft	https://github.com/rutaabali3/tape-dispensers-craft
files-craft	rutaabali3/files-craft	https://github.com/rutaabali3/files-craft
folders-craft	rutaabali3/folders-craft	https://github.com/rutaabali3/folders-craft
document-folders-craft	rutaabali3/document-folders-craft	https://github.com/rutaabali3/document-folders-craft
expanding-files-craft	rutaabali3/expanding-files-craft	https://github.com/rutaabali3/expanding-files-craft
ring-binders-craft	rutaabali3/ring-binders-craft	https://github.com/rutaabali3/ring-binders-craft
clipboards-craft	rutaabali3/clipboards-craft	https://github.com/rutaabali3/clipboards-craft
lever-arch-files-craft	rutaabali3/lever-arch-files-craft	https://github.com/rutaabali3/lever-arch-files-craft
magazine-holders-craft	rutaabali3/magazine-holders-craft	https://github.com/rutaabali3/magazine-holders-craft
document-wallets-craft	rutaabali3/document-wallets-craft	https://github.com/rutaabali3/document-wallets-craft
file-labels-craft	rutaabali3/file-labels-craft	https://github.com/rutaabali3/file-labels-craft
index-dividers-craft	rutaabali3/index-dividers-craft	https://github.com/rutaabali3/index-dividers-craft
bookmarks-craft	rutaabali3/bookmarks-craft	https://github.com/rutaabali3/bookmarks-craft
paper-clips-craft	rutaabali3/paper-clips-craft	https://github.com/rutaabali3/paper-clips-craft
binder-clips-craft	rutaabali3/binder-clips-craft	https://github.com/rutaabali3/binder-clips-craft
bulldog-clips-craft	rutaabali3/bulldog-clips-craft	https://github.com/rutaabali3/bulldog-clips-craft
push-pins-craft	rutaabali3/push-pins-craft	https://github.com/rutaabali3/push-pins-craft
rubber-bands-craft	rutaabali3/rubber-bands-craft	https://github.com/rutaabali3/rubber-bands-craft
staplers-craft	rutaabali3/staplers-craft	https://github.com/rutaabali3/staplers-craft
staples-craft	rutaabali3/staples-craft	https://github.com/rutaabali3/staples-craft
staple-removers-craft	rutaabali3/staple-removers-craft	https://github.com/rutaabali3/staple-removers-craft
hole-punches-craft	rutaabali3/hole-punches-craft	https://github.com/rutaabali3/hole-punches-craft
desk-accessories-craft	rutaabali3/desk-accessories-craft	https://github.com/rutaabali3/desk-accessories-craft
pencil-cases-craft	rutaabali3/pencil-cases-craft	https://github.com/rutaabali3/pencil-cases-craft
pen-stands-craft	rutaabali3/pen-stands-craft	https://github.com/rutaabali3/pen-stands-craft
desk-organizers-craft	rutaabali3/desk-organizers-craft	https://github.com/rutaabali3/desk-organizers-craft
letter-trays-craft	rutaabali3/letter-trays-craft	https://github.com/rutaabali3/letter-trays-craft
desk-pads-craft	rutaabali3/desk-pads-craft	https://github.com/rutaabali3/desk-pads-craft
mouse-pads-craft	rutaabali3/mouse-pads-craft	https://github.com/rutaabali3/mouse-pads-craft
bookends-craft	rutaabali3/bookends-craft	https://github.com/rutaabali3/bookends-craft
paperweights-craft	rutaabali3/paperweights-craft	https://github.com/rutaabali3/paperweights-craft
calendars-craft	rutaabali3/calendars-craft	https://github.com/rutaabali3/calendars-craft
desk-calendars-craft	rutaabali3/desk-calendars-craft	https://github.com/rutaabali3/desk-calendars-craft
nameplates-craft	rutaabali3/nameplates-craft	https://github.com/rutaabali3/nameplates-craft
sticky-note-holders-craft	rutaabali3/sticky-note-holders-craft	https://github.com/rutaabali3/sticky-note-holders-craft
scissors-holders-craft	rutaabali3/scissors-holders-craft	https://github.com/rutaabali3/scissors-holders-craft
cable-organizers-craft	rutaabali3/cable-organizers-craft	https://github.com/rutaabali3/cable-organizers-craft
crayons-craft	rutaabali3/crayons-craft	https://github.com/rutaabali3/crayons-craft
oil-pastels-craft	rutaabali3/oil-pastels-craft	https://github.com/rutaabali3/oil-pastels-craft
soft-pastels-craft	rutaabali3/soft-pastels-craft	https://github.com/rutaabali3/soft-pastels-craft
oil-paints-craft	rutaabali3/oil-paints-craft	https://github.com/rutaabali3/oil-paints-craft
watercolors-craft	rutaabali3/watercolors-craft	https://github.com/rutaabali3/watercolors-craft
acrylic-paints-craft	rutaabali3/acrylic-paints-craft	https://github.com/rutaabali3/acrylic-paints-craft
paintbrushes-craft	rutaabali3/paintbrushes-craft	https://github.com/rutaabali3/paintbrushes-craft
palettes-craft	rutaabali3/palettes-craft	https://github.com/rutaabali3/palettes-craft
art-markers-craft	rutaabali3/art-markers-craft	https://github.com/rutaabali3/art-markers-craft
drawing-charcoal-craft	rutaabali3/drawing-charcoal-craft	https://github.com/rutaabali3/drawing-charcoal-craft
blending-stumps-craft	rutaabali3/blending-stumps-craft	https://github.com/rutaabali3/blending-stumps-craft
modeling-clay-craft	rutaabali3/modeling-clay-craft	https://github.com/rutaabali3/modeling-clay-craft
craft-paper-craft	rutaabali3/craft-paper-craft	https://github.com/rutaabali3/craft-paper-craft
glitter-craft	rutaabali3/glitter-craft	https://github.com/rutaabali3/glitter-craft
ribbons-craft	rutaabali3/ribbons-craft	https://github.com/rutaabali3/ribbons-craft
art-aprons-craft	rutaabali3/art-aprons-craft	https://github.com/rutaabali3/art-aprons-craft
pencil-boxes-craft	rutaabali3/pencil-boxes-craft	https://github.com/rutaabali3/pencil-boxes-craft
school-bags-craft	rutaabali3/school-bags-craft	https://github.com/rutaabali3/school-bags-craft
lunch-boxes-craft	rutaabali3/lunch-boxes-craft	https://github.com/rutaabali3/lunch-boxes-craft
